"FullName",Nome Parlamentar-Partido-UF
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image19_2.jpeg",Daniel Freitas-PL-SC
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image19_3.jpeg",Daniel Silveira-PTB-RJ
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image19_4.jpeg",Daniel Trzeciak-PSDB-RS
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image19_5.jpeg",Daniela do Waguinho-UNIÃO-RJ
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image19_6.jpeg",Danilo Cabral-PSB-PE
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image19_7.jpeg",Danilo Forte-PSDB-CE
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image19_8.jpeg",Danrlei de Deus Hinterholz-PSD-RS
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image19_9.jpeg",Darci de Matos-PSD-SC
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image1_1.jpeg",David Miranda-PDT-RJ
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image1_10.jpeg",David Soares-UNIÃO-SP
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image1_11.jpeg",Delegado Antônio Furtado-UNIÃO-RJ
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image1_12.jpeg",Delegado Éder Mauro-PL-PA
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image1_2.jpeg",Delegado Marcelo Freitas-UNIÃO-MG
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image1_3.jpeg",Delegado Pablo-UNIÃO-AM
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image1_4.jpeg",Delegado Waldir-UNIÃO-GO
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image1_5.jpeg",Denis Bezerra-PSB-CE
